Layer Name,Batch Size,Epochs,Accuracy,Precision,Recall,F1,Training Time,Prediction Time,Model Size,Number of Parameters
Layer_0_2_6_7_9_11_Skipped,8,5,0.3,0.09166666666666666,0.3,0.13999999999999999,76.54883193969727,1.105743169784546,267876775,66958853
Layer_1_2_3_4_5_6_7_8_Skipped,16,5,0.3,0.1,0.3,0.14666666666666667,98.32315278053284,1.3603641986846924,324592455,81134597
Layer_5_6_7_8_9_10_11_Skipped,8,5,0.3,0.14444444444444443,0.3,0.1727272727272727,74.70811891555786,1.2832701206207275,296234615,74046725
Layer_1_2_3_4_5_6_7_8_Skipped,8,5,0.3,0.09047619047619046,0.3,0.1388888888888889,114.57896399497986,1.4850552082061768,324592455,81134597
Layer_0_2_4_6_8_10_Skipped,16,3,0.3,0.09166666666666666,0.3,0.13999999999999999,37.401947021484375,1.0120701789855957,267876775,66958853
Layer_2_4_6_7_8_11_Skipped,8,3,0.2,0.04,0.2,0.06666666666666668,43.80073380470276,1.3280067443847656,267876775,66958853
Layer_1_3_5_7_9_11_Skipped,16,3,0.2,0.04,0.2,0.06666666666666668,41.43665099143982,1.020503044128418,267876775,66958853
Layer_5_6_7_8_9_10_11_Skipped,16,3,0.2,0.04,0.2,0.06666666666666668,46.1282000541687,1.1910860538482666,296234615,74046725
Full_Pretrained,16,3,0.2,0.04,0.2,0.06666666666666668,79.16160702705383,2.0920350551605225,438023751,109486085
Layer_2_4_6_7_8_11_Skipped,16,5,0.2,0.04,0.2,0.06666666666666668,99.27565479278564,1.0913071632385254,267876775,66958853
Layer_0_2_6_7_9_11_Skipped,16,3,0.2,0.04,0.2,0.06666666666666668,39.17134690284729,1.0104172229766846,267876775,66958853
Layer_0_2_6_7_9_11_Skipped,16,5,0.2,0.04,0.2,0.06666666666666668,75.2389349937439,1.023711919784546,267876775,66958853
Layer_0_2_3_4_9_11_Skipped,16,5,0.2,0.04,0.2,0.06666666666666668,61.474701166152954,1.0260920524597168,267876775,66958853
Layer_1_3_5_7_9_11_Skipped,16,5,0.2,0.04444444444444444,0.2,0.07272727272727272,91.69846510887146,0.9942338466644287,267876775,66958853
Layer_0_2_4_6_8_10_Skipped,16,5,0.2,0.04,0.2,0.06666666666666668,64.87211298942566,1.0108418464660645,267876775,66958853
Layer_5_6_7_8_9_10_11_Skipped,16,5,0.2,0.04,0.2,0.06666666666666668,80.67430996894836,1.1965808868408203,296234615,74046725
Layer_0_2_3_4_9_11_Skipped,16,3,0.2,0.04,0.2,0.06666666666666668,63.321595907211304,1.0249900817871094,267876775,66958853
Layer_2_4_6_7_8_11_Skipped,16,3,0.2,0.04,0.2,0.06666666666666668,38.7617621421814,1.0145847797393799,267876775,66958853
Layer_0_2_6_7_9_11_Skipped,8,3,0.2,0.04,0.2,0.06666666666666668,39.88158178329468,1.1029560565948486,267876775,66958853
Full_Pretrained,8,5,0.2,0.1125,0.2,0.12222222222222223,141.3786609172821,2.212574005126953,438023751,109486085
Layer_0_2_4_6_8_10_Skipped,8,5,0.2,0.04,0.2,0.06666666666666668,78.56088399887085,1.1182160377502441,267876775,66958853
Layer_1_3_5_7_9_11_Skipped,8,5,0.2,0.04444444444444444,0.2,0.07272727272727272,88.30943489074707,1.106199026107788,267876775,66958853
Layer_0_2_3_4_9_11_Skipped,8,5,0.2,0.04,0.2,0.06666666666666668,80.84651184082031,1.10811185836792,267876775,66958853
Layer_2_4_6_7_8_11_Skipped,8,5,0.2,0.04,0.2,0.06666666666666668,67.38796615600586,1.1173110008239746,267876775,66958853
Full_Pretrained,8,3,0.2,0.04444444444444444,0.2,0.07272727272727272,84.01119995117188,2.1643311977386475,438023751,109486085
Layer_5_6_7_8_9_10_11_Skipped,8,3,0.2,0.04,0.2,0.06666666666666668,62.306349992752075,1.2759432792663574,296234615,74046725
Layer_0_2_4_6_8_10_Skipped,8,3,0.2,0.04,0.2,0.06666666666666668,40.27684807777405,1.1059582233428955,267876775,66958853
Layer_1_3_5_7_9_11_Skipped,8,3,0.2,0.04,0.2,0.06666666666666668,61.933895111083984,1.0892002582550049,267876775,66958853
Layer_0_2_3_4_9_11_Skipped,8,3,0.2,0.04,0.2,0.06666666666666668,45.54182410240173,1.1144239902496338,267876775,66958853
Full_Pretrained,16,5,0.2,0.04,0.2,0.06666666666666668,154.40119910240173,2.1405091285705566,438023751,109486085
Layer_1_2_3_4_5_6_7_8_Skipped,8,3,0.1,0.01111111111111111,0.1,0.019999999999999997,51.191235065460205,1.456496000289917,324592455,81134597
Layer_1_2_3_4_5_6_7_8_Skipped,16,3,0.0,0.0,0.0,0.0,80.7189621925354,1.362900972366333,324592455,81134597
